Job,How many staff for this job
PM PICK UP,1
Sub,2
Greeting Parents,4
Check in / Check out,2
Basketball,1
GAGA 1 Ref,1
GAGA 2 Ref,1
Hydration Stations,1
Board Game Room,1
Playground & Camp Flags,1
Setting up CTF & Soccer fields,2
"Setting up Volley ball, hockey & team handball",3
Small whiffle ball field,3
Large Whiffle ball field,3
Camp Clean up,4
Left out equipment,2
Ping Pong room,1
Arts and Crafts,2
Popsicles,1
Ball Rom Inventory,1
Field Liner 1,1
Field Liner 2,1
Field Liner 3,1
Ball Rom Check out,2
Help Jeff/TAPAN with pick up,2
Rest Room Patrol,1
whiffle ball,1